"동별(1)",동별(2),동별(3),2021,2021,2021,2021
"동별(1)",동별(2),동별(3),면적,면적,동 (개소),동 (개소)
"동별(1)",동별(2),동별(3),면적 (k㎡),구성비 (%),행정,법정
"서울시",소계,소계,605.24,100.00,426.00,466.00
"서울시",종로구,소계,23.91,4.00,17.00,87.00
"서울시",종로구,사직동,1.23,0.20,1.00,12.00
"서울시",종로구,삼청동,1.49,0.30,1.00,7.00
"서울시",종로구,부암동,2.27,0.40,1.00,3.00
"서울시",종로구,평창동,8.87,1.50,1.00,2.00
"서울시",종로구,무악동,0.36,0.10,1.00,1.00
"서울시",종로구,교남동,0.35,0.10,1.00,6.00
"서울시",종로구,가회동,0.54,0.10,1.00,4.00
"서울시",종로구,종로1.2.3.4가동,2.35,0.40,1.00,28.00
"서울시",종로구,종로5.6가동,0.60,0.10,1.00,5.00
"서울시",종로구,이화동,0.78,0.10,1.00,3.00
"서울시",종로구,혜화동,1.12,0.20,1.00,5.00
"서울시",종로구,창신1동,0.31,0.10,1.00,1.00
"서울시",종로구,창신2동,0.26,0.00,1.00,-
"서울시",종로구,창신3동,0.23,0.00,1.00,-
"서울시",종로구,숭인1동,0.23,0.00,1.00,1.00
"서울시",종로구,숭인2동,0.35,0.10,1.00,-
"서울시",종로구,청운효자동,2.57,0.40,1.00,9.00
"서울시",중구,소계,9.96,1.70,15.00,74.00
"서울시",중구,소공동,0.95,0.20,1.00,11.00
"서울시",중구,회현동,0.84,0.10,1.00,7.00
"서울시",중구,명동,0.99,0.20,1.00,18.00
"서울시",중구,필동,1.14,0.20,1.00,7.00
"서울시",중구,장충동,1.36,0.20,1.00,3.00
"서울시",중구,광희동,0.74,0.10,1.00,10.00
"서울시",중구,을지로동,0.60,0.10,1.00,10.00
"서울시",중구,신당5동,0.39,0.10,1.00,-
"서울시",중구,황학동,0.33,0.10,1.00,1.00
"서울시",중구,중림동,0.48,0.10,1.00,4.00
"서울시",중구,신당동,0.55,0.10,1.00,3.00
"서울시",중구,다산동,0.51,0.10,1.00,-
"서울시",중구,약수동,0.48,0.10,1.00,-
"서울시",중구,청구동,0.34,0.10,1.00,-
"서울시",중구,동화동,0.26,0.00,1.00,-
"서울시",용산구,소계,21.87,3.60,16.00,36.00
"서울시",용산구,후암동,0.86,0.10,1.00,1.00
"서울시",용산구,용산2가동,1.96,0.30,1.00,2.00
"서울시",용산구,남영동,1.19,0.20,1.00,4.00
"서울시",용산구,원효로2동,0.71,0.10,1.00,5.00
"서울시",용산구,효창동,0.44,0.10,1.00,1.00
"서울시",용산구,용문동,0.28,0.10,1.00,2.00
"서울시",용산구,이촌1동,2.86,0.50,1.00,1.00
"서울시",용산구,이촌2동,1.22,0.20,1.00,-
"서울시",용산구,이태원1동,0.57,0.10,1.00,1.00
"서울시",용산구,이태원2동,0.86,0.10,1.00,-
"서울시",용산구,서빙고동,2.80,0.50,1.00,4.00
"서울시",용산구,보광동,0.71,0.10,1.00,1.00
"서울시",용산구,청파동,0.90,0.20,1.00,4.00
"서울시",용산구,원효로1동,0.59,0.10,1.00,4.00
"서울시",용산구,한강로동,2.90,0.50,1.00,5.00
"서울시",용산구,한남동,3.01,0.50,1.00,1.00
"서울시",성동구,소계,16.86,2.80,17.00,17.00
"서울시",성동구,왕십리2동,0.41,0.10,1.00,1.00
"서울시",성동구,마장동,1.05,0.20,1.00,1.00
"서울시",성동구,사근동,1.10,0.20,1.00,1.00
"서울시",성동구,행당1동,0.59,0.10,1.00,1.00
"서울시",성동구,행당2동,0.42,0.10,1.00,-
"서울시",성동구,응봉동,0.57,0.10,1.00,1.00
"서울시",성동구,금호1가동,0.46,0.10,1.00,1.00
"서울시",성동구,금호4가동,0.84,0.10,1.00,1.00
"서울시",성동구,성수1가1동,1.97,0.30,1.00,1.00
"서울시",성동구,성수1가2동,0.89,0.20,1.00,-
"서울시",성동구,성수2가1동,1.17,0.20,1.00,1.00
"서울시",성동구,성수2가3동,1.03,0.20,1.00,-
"서울시",성동구,송정동,0.75,0.10,1.00,1.00
"서울시",성동구,용답동,2.31,0.40,1.00,1.00
"서울시",성동구,왕십리도선동,0.72,0.10,1.00,3.00
"서울시",성동구,금호2.3가동,0.64,0.10,1.00,2.00
"서울시",성동구,옥수동,1.94,0.30,1.00,1.00
"서울시",광진구,소계,17.06,2.80,15.00,7.00
"서울시",광진구,화양동,1.16,0.20,1.00,1.00
"서울시",광진구,군자동,0.74,0.10,1.00,1.00
"서울시",광진구,중곡1동,0.62,0.10,1.00,1.00
"서울시",광진구,중곡2동,0.55,0.10,1.00,-
"서울시",광진구,중곡3동,0.60,0.10,1.00,-
"서울시",광진구,중곡4동,2.32,0.40,1.00,-
"서울시",광진구,능동,1.10,0.20,1.00,1.00
"서울시",광진구,구의1동,0.56,0.10,1.00,1.00
"서울시",광진구,구의2동,1.39,0.20,1.00,-
"서울시",광진구,구의3동,1.02,0.20,1.00,-
"서울시",광진구,광장동,2.39,0.40,1.00,1.00
"서울시",광진구,자양1동,0.57,0.10,1.00,1.00
"서울시",광진구,자양2동,1.68,0.30,1.00,-
"서울시",광진구,자양3동,1.20,0.20,1.00,-
"서울시",광진구,자양4동,1.16,0.20,1.00,-
"서울시",동대문구,소계,14.22,2.40,14.00,10.00
"서울시",동대문구,회기동,0.76,0.10,1.00,1.00
"서울시",동대문구,휘경1동,0.63,0.10,1.00,1.00
"서울시",동대문구,휘경2동,1.05,0.20,1.00,-
"서울시",동대문구,청량리동,1.20,0.20,1.00,1.00
"서울시",동대문구,용신동,1.61,0.30,1.00,2.00
