post_id,name,post,hashtag
Cmb-hsqPZht,나빈샵❤비니맘,"❗[공동구매] 
크리스마스 벽트리/트리 풀 세트/
포인트 벽리스 공구 최저가 open!❤

☺ 트리 풀 세트
레트로 느낌의 추억 트리
마음대로 꾸미는 트리맛집

온가족이 모여 트리 꾸미기
또눈 친구랑 연인이랑 꾸미기 ♪

트리 풀 세트는 전구부터 예쁜 장식들을
세트로 담아 보내드리기 때문에
나무에 장식만 걸어주면 끝!

손쉽게 멋진 트리 완성이에요 ღ๑

아이들과 꾸미는 재미도 쏠쏠하답니다~

☺ 벽트리 / 포인트 벽리스
트리가 부담스러우신 분들은
벽트리나 벽리스 추천드려요~ ♫

공간 차지 안하고 설치도 간단하고 
포인트로 어디다 설치해도 너무 예뻐요

다른 곳에서 찾아볼 수 없는
더원스토리 자체 제작 상품들~ ღ๑

한 시즌 제품 제작에
소요되는 기간 평균 1년!

집,카페,레스토랑,벽,천장,유리
어디에나 설치 가능 합니다 ✿

감성 인테리어에 빠질 수 없는
벽트리와 벽리스!

일반 벽에 해두어도 예쁘지만
특히 유리창에 해두면 반사되어
밤에는 반짝반짝 더욱 예쁘답니다~❢❣

당신만을 위한 특별한 크리스마스!
특별한 디자인으로 미리 준비해보세요~

✰ 트리C와 벽트리는 
여러 문구 스티커도 동봉되어
원하는 멘트로 골라 꾸며줄 수도 있어요

나만의 감성트리
나만의 포인트 문구 리스로 
나를 위한,
우리가족을 위한 겨울을 만드세요!

✶✶✶✶✶✶✶✶✶✶✶✶✶✶✶✶✶

✦구성
✔트리풀세트-트리A,B,C,D
✔벽트리E
✔벽리스-골드픽션리스,핑크팝리스,
레드블리리스,다솜리스,코코리스,앙주리스

[★ 한정수량 품절전
서둘러 구매하세요~!! ★]

구매는 프로필 하단
링크에서 가능합니다! ☝☝☝

#연말파티준비#크리스마스소품#트리추천#집꾸미기스타그램#인테리어#12월#캐롤#크리스마스#트리만들기#감성트리#성탄#크리스마스오너먼트#크리스마스트리장식#홈스토랑#집콕육아#성탄절그램#크리스마스조명#크리스마스준비#크리스마스선물#거실인테리어#홈문센놀이#분위기최고#크리스마스트리주문#분위기깡패#아이있는집#아이랑놀기","['#연말파티준비', '#크리스마스소품', '#트리추천', '#집꾸미기스타그램', '#인테리어', '#12월', '#캐롤', '#크리스마스', '#트리만들기', '#감성트리', '#성탄', '#크리스마스오너먼트', '#크리스마스트리장식', '#홈스토랑', '#집콕육아', '#성탄절그램', '#크리스마스조명', '#크리스마스준비', '#크리스마스선물', '#거실인테리어', '#홈문센놀이', '#분위기최고', '#크리스마스트리주문', '#분위기깡패', '#아이있는집', '#아이랑놀기']"
Cmbwy3SrhK3,오아시스,"#REPOST @pelicankorea_official with @get__repost__app 🎅 펠리칸 산타의 HOLIDAY 팔로우 이벤트 🎅

착한 어른이들을 위해 펠리칸 산타가 떴다!
지금 바로 펠리칸 코리아 인스타그램을 팔로우하고 펠리칸 산타의 홀리데이 기프트를 받아보세요! 

■ 응모 방법
☝ 펠리칸코리아 공식 인스타 [pelicankorea_official]계정을 팔로우 하고
✌ 본 게시글 댓글에 친구를 소환하여 펠리칸 산타에게 소원을 빌면 끝! 
(펠리칸코리아 인스타 계정과 네이버 포스트에 활발한 관심을 보여주실수록 당첨확률 UP! UP!)

■ 이벤트 기간
2022. 12. 16 (금) - 2022. 12. 25 (일)

■ 펠리칸 산타의 선물
- 2023 새로운 여정을 위한 펠리칸 에어 1535TRVL (1명)
- 2022년 흘러가는 순간의 기록을 위한 코닥 미니샷 2 (2명)
- 따뜻한 연말을 위한 스타벅스 기프티콘 (10명)

■ 당첨자 발표
2022. 12. 28 (수) 개별 DM 발송

※ 당첨자 발표는 펠리칸 코리아의 공식 계정 (@pelicankorea_official)에서 공지된 일정에 따라 발표됩니다. 반드시 사칭 계정 피싱 사기에 주의해주세요.

#펠리칸 #펠리칸케이스 #펠리칸에어 #크리스마스 #홀리데이 #이벤트 #repostandroid #repostw10","['#REPOST', '#펠리칸', '#펠리칸케이스', '#펠리칸에어', '#크리스마스', '#홀리데이', '#이벤트', '#repostandroid', '#repostw10']"
CmcCs7ML6ur,𝗜’𝗺,"Grandcat❤️

크리스마스는 할마마 집에서🎄✨

한달동안 3번의 큰 이동을 한 밀리🥹🥹🥹 
베테랑 트래블캣 되겠엉🫣

오늘은 구석에서 10년 묵은 먼지도 꺼내왔지만 
지금은 옴마 무릎에 코코낸내 중! #적응갑 👍

함께 하는 2번째 크리스마스 즐겁게 보내쟈🙌

#크리스마스 #일주일즐기기 #독일크리스마스 #크리스마스피라미드 #돌돌이필수 #샴믹스 #냥이일상 #냥스타 #집사일상 
.
.
2022.12.21
#고양이밀리 
#샴믹스밀리 
#냥스타그램 
#반려묘일상
#샐리와밀리","['#적응갑', '#크리스마스', '#일주일즐기기', '#독일크리스마스', '#크리스마스피라미드', '#돌돌이필수', '#샴믹스', '#냥이일상', '#냥스타', '#집사일상', '#고양이밀리', '#샴믹스밀리', '#냥스타그램', '#반려묘일상', '#샐리와밀리']"
CmbsrnKh-Lp,민,나는 겨울이 좋은가봐☃️🤍❄️🎅🏼🎄,[]
Cmb70_PyEkk,예나,"✨𝐬𝐡𝐢𝐧𝐲 𝐝𝐚𝐲✨

-

#디올 #디올뷰티 #디올뷰티홀리데이팝업스토어 #디올꿈의아뜰리에 #디올꿈의아뜰리에팝업스토어 #디올팝업스토어 #익선동 #익선동핫플 #익선동데이트 #dior #diorbeauty #서울핫플 #크리스마스 #크리스마스트리 #크리스마스핫플 #일상 #일상스타그램 #데일리 #데일리코디 #daily #dailylook #ootd #fashion #좋반 #좋반테러 #선팔 #선팔하면맞팔 #photography #followforfollowback #likesforlike","['#디올', '#디올뷰티', '#디올뷰티홀리데이팝업스토어', '#디올꿈의아뜰리에', '#디올꿈의아뜰리에팝업스토어', '#디올팝업스토어', '#익선동', '#익선동핫플', '#익선동데이트', '#dior', '#diorbeauty', '#서울핫플', '#크리스마스', '#크리스마스트리', '#크리스마스핫플', '#일상', '#일상스타그램', '#데일리', '#데일리코디', '#daily', '#dailylook', '#ootd', '#fashion', '#좋반', '#좋반테러', '#선팔', '#선팔하면맞팔', '#photography', '#followforfollowback', '#likesforlike']"
CmbpuT2rRvX,Paul,"#크리스마스케이크 #ChristmasCake 🎂
#크리스마스케이크만들기

회사에서 생전 안하던 무료프로그램 하길래
신청해서 줌으로 설명해주는거 보면서 따라만들기

아이들이 기대도 많이 하고 재밌어도 했는데
아직은 챙겨줘야할 나이 ㅎㅎ

#자상한아빠코스프레
#크리스마스 #Christmas 🎄
#사십대마지막크리스마스
#산타모자쓰고출근할까고민중 ㅋㅋ","['#크리스마스케이크', '#ChristmasCake', '#크리스마스케이크만들기', '#자상한아빠코스프레', '#크리스마스', '#Christmas', '#사십대마지막크리스마스', '#산타모자쓰고출근할까고민중']"
Cmb4_qtP_YI,ᵞᴼᴼᴴᴬᵞᴼᴼᴸ,"유치원에서 크리스마스 선물 준대요🎄
너무 추워서 커뮤니티센터에서 기다렸는데 혼자 신나서 공연하는 중.....😇

#유하일상ღ #38개월아기 #부산시민공원 #일상 #소통 #좋아요반사 #좋아요 #팔로우 #황금돼지띠맘 #황금돼지띠아기 #도치맘 #육아 #육아소통 #육아스타그램 #딸스타그램 #딸바보 #육아일상 #키즈모델 #아기모델 #베베 #아기스타그램 #럽스타그램 #자매맘 #겨울 #크리스마스 #유치원 #선물 #기대가득","['#유하일상ღ', '#38개월아기', '#부산시민공원', '#일상', '#소통', '#좋아요반사', '#좋아요', '#팔로우', '#황금돼지띠맘', '#황금돼지띠아기', '#도치맘', '#육아', '#육아소통', '#육아스타그램', '#딸스타그램', '#딸바보', '#육아일상', '#키즈모델', '#아기모델', '#베베', '#아기스타그램', '#럽스타그램', '#자매맘', '#겨울', '#크리스마스', '#유치원', '#선물', '#기대가득']"
CmbtU9LLsN6,@sjsjsj898989,#알로하녹#크리스마스 #크리스마스인테리어 #카페,"['#알로하녹', '#크리스마스', '#크리스마스인테리어', '#카페']"
CmbyN5uvNb0,민주,"📸☺️🎄😎

#롯데월드 #사진 #크리스마스 #christmas #겨울 #고등학생 #이제끝","['#롯데월드', '#사진', '#크리스마스', '#christmas', '#겨울', '#고등학생', '#이제끝']"
CmbpRPTPQwZ,내사랑💜,"하도 이상해서 호다닥 올리는 피드🎄
멋대로 사진 크기 올라가는 난감함...

스필이 집앞이만 이번 주말엔 미어터질거라서
문닫기 1시간 전에 가서
크리스마스 느낌 즐기고 오기

#곧#크리스마스#연말느낌#가족나들이","['#곧', '#크리스마스', '#연말느낌', '#가족나들이']"
