post_id,name,post,hashtag
Cmbx8_yr-UW,♾️,"< 트레이너 김민성 >

왜 벌써 크리스마스여,,
#25일 #어디운동이였더라,, #길성준 

➖ 5150피트니스 대화점 ➖➖➖➖➖➖

✔️ 2022 한국소비자평가 1위
✔️ 500평 규모 / 고오급 머신 100여종
 (해머스트렝스, 싸이벡스, 너틸러스, 뉴텍 엠토쳐 등)
✔️ 다양한 유산소 머신
 (천국의 계단, 아크트레이너 등)
✔️ 현역 선수 트레이너팀 구성
✔️ 세스코 정기 관리 센터
 (코로나관련 방역 및 소독)
✔️ 제휴업체 多
 (식단, 태닝샵, 의류쇼핑몰, 문화누리카드 등)

➖문의는?➖➖➖➖➖➖➖➖➖➖

카톡채널 : 5150피트니스 대화점
블로그 : 5150피트니스 대화점
인스타그램 : 5150__fitness2

☎️ 문의 : 031-911-8027
📍 경기 고양시 일산서구 중앙로 1564 (그린월드빌딩 7층)
 -  롯데리아/메가커피 건물

#일산헬스 #일산pt #헬스타그램 #오운완
#운동하는남자 #운동하는여자 #바디프로필 #바프 #다이어트 #헬스타그램 #fitness 
#좋아요 #팔로우 #헬스 #크리스마스","['#25일', '#어디운동이였더라', '#길성준', '#일산헬스', '#일산pt', '#헬스타그램', '#오운완', '#운동하는남자', '#운동하는여자', '#바디프로필', '#바프', '#다이어트', '#헬스타그램', '#fitness', '#좋아요', '#팔로우', '#헬스', '#크리스마스']"
CmcBDVRvmfz,KIVATI,"한강이의 기도🙏

#tomacosmic #한강이랑산이랑","['#tomacosmic', '#한강이랑산이랑']"
Cmb0_K5vQIK,고운유치원&고운어린이집,"#크리스마스파티 #첫째날 #무비데이
고운유치원에서는 신나는 크리스마스 파티가 진행중!

Day.1 고운 무비 데이!
고운 VIP 티켓은 50% 할인이 된답니다! 직접 영화표를 사고 각 반 상영관에서 <스파이크> 영화를 감상했어요-!

내일은 <찾아가는 키즈카페-풍선돔> 이 진행됩니다! 기대 가득 안고 만나요♥️","['#크리스마스파티', '#첫째날', '#무비데이']"
Cmb90lEP14R,SUNSET&SUNRISE,🥰,[]
Cmb3jxMyjbK,@cutie._.bebe_edu,"Posted @withrepost • @jackiego5 .
🎁굿모닝! .
엄마표 영어를 도와드리는 재키쌤이에요.
크리스마스를 기념하여 특별히 
인기 영어 그림책 8권의 
자체 제작 활동지 3종, 총 24장과
리드 어라우드 영상 QR 모음을 보내드립니다.
⠀
🎁원래 유료 프로젝트에 
제공되는 자료랍니다!
띵동 영어, 올해 마지막 자료 나눔, 놓치지 마세요!
⠀
🎁신청하기
1. 신청 기간: ~12월 23일(금)
2. 자료 발송: 12월 24일(토)
3. 신청 방법:
1) 재키쌤 인스타 팔로우& 본 게시글누르기
@jackiego5
2) 본 피드 리그램 또는 친구 소환 3명 이상
3) 프로필 링크에서 네이버 폼 작성 후 
크리스마스 인사! 작성
⠀
#엄마표영어 #엄마표영어활동지 #영어그림책 #영어워크시트 #크리스마스
#크리스마스활동지 #유아영어 #초등영어 #영어그림책추천 #홈스쿨링 #띵동영어","['#엄마표영어', '#엄마표영어활동지', '#영어그림책', '#영어워크시트', '#크리스마스', '#크리스마스활동지', '#유아영어', '#초등영어', '#영어그림책추천', '#홈스쿨링', '#띵동영어']"
Cmbtk-qPUPN,💛동그다미💛,"산타아가씨들❤️🎅
.
.
.
.
.
.
.
#흑호랑이띠 #호랑이띠 #아기산타 #아기산타복 #단체산타복 #언니들과친구랑 #크리스마스 #사진찍기 #4명이서같이찍기힘들구나 #우리라유니도 #얼른앉았으면좋겠다 #지우지아나현라윤 #우리아가들 #사랑해❤️","['#흑호랑이띠', '#호랑이띠', '#아기산타', '#아기산타복', '#단체산타복', '#언니들과친구랑', '#크리스마스', '#사진찍기', '#4명이서같이찍기힘들구나', '#우리라유니도', '#얼른앉았으면좋겠다', '#지우지아나현라윤', '#우리아가들', '#사랑해']"
CmbssBxPZ01,호작이,서일페 가시는 분들 너무 부럽다🤣,[]
Cmbq63prgGX,Bubu,"결혼하고 같이보내는 첫 멜크❄️
.
.
.
.
.
#일상#데일리#daily#크리스마스#홈파티#크리스마스트리#자작나무트리#신혼부부#부부일상#행복♥️","['#일상', '#데일리', '#daily', '#크리스마스', '#홈파티', '#크리스마스트리', '#자작나무트리', '#신혼부부', '#부부일상', '#행복']"
CmbomORLBU6,하은,"🎠
 
 
 
#일상 #롯데월드몰 #크리스마스","['#일상', '#롯데월드몰', '#크리스마스']"
CmbrlDohbWh,@ae.in__,ㅎㅎㅎ장난없는서일페준비*.* 처음이라그런거맞져..🫠 6시간 디피실화인가.. 목금토일 10-7시 코엑스B홀 부스C26 …네.. 그냥 그렇다구요..🥹🙌🎄❤️,[]
