post_id,name,post,hashtag
CmbsBXuLGlQ,효롱,"크리스마스주 기념🎄
가구 위치 샤샤삭 바꾸기",[]
Cmbqj9srn5s,정다훈,#크리스마스 #크리스마스트리 #트리 #스케줄 #합정,"['#크리스마스', '#크리스마스트리', '#트리', '#스케줄', '#합정']"
CmbnZSVLf8w,한동희,"#이비스스타일앰배서더강남 #협찬 

도심 속의 휴식처 : 이비스 스타일 앰배서더 강남 

평소에는 협찬을 잘 받지 않는 제가 좋은 뜻에 동참하고자 오늘은 오랜만에 호텔에 대한 소개를 드리려고 해요~!🙋‍♂️

🎁 ‘Co-living’ 패키지란?
보육시설에서 자란 쳥소년들은 만 18세가 되면 홀로 자립을 해야 합니다. 이러한 청소년들을 돕기 위해 ‘이비스 강남 호텔’는 ‘소이프’와 협력하여 직업교육생들이 직접 디자인한 제품들을 구매한 후 각각의 패키지를 만들었습니다. 패키지 판매 금액의 일부는 자립준비청년들을 위한 장학금으로 사용된다고 해요. 

🎄 호텔 로비에는 크리스마스를 맞이해서 예쁜 트리 장식이 되어있어서 사진을 찍기 좋아요📸
물론, 로비 이외에도 곳곳에 X-mas 장식이 되어 있어서 크리스마스 분위기를 제대로 즐길 수 있습니다~!😆

🏨 연말, 연초에 호텔을 방문할 계획이 있으시다면 보육시설 청소년들의 자립을 도울 수 있는 Co-living 패키지를 이용해 보시면 어떨까요? 

모두 따뜻한 연말 보내세요😄

📍이용안내
 • 위치. 서울시 강남구 삼성로 431 
 • 패키지 구성.
 1) 슈페리어 객실 + 소이프 디자인양말 5종 
 2) 슈페리어 객실 + 호랑이 머플러 (오트밀) 
 • 패키지 기간. 2022.12.04 ~ 2023.01.31
 • 체크인. 14:00 / 체크아웃 12:00 
 • 프레시 365 다이닝 조식. 07:30 ~ 10:00","['#이비스스타일앰배서더강남', '#협찬']"
CmcCDDHPjB3,이오,"크리스마스가 뭐가 신나 🙃? ㅋㅋㅋㅋㅋㅋ우린 애들처럼 겨우 크리스마스따위에 신나하지 않는 K-잼민스.. 🌟 😏.. ✨🎄

#언행불일치 #크리스마스 #painting #drawing #illustration #cuteart #chibiart #ipadart #christmas #winter #characterdesign #oc #originalcharacter #procreate 
#그림 #캐릭터 #일러스트 #キャラクター #イラスト #クリスマス","['#언행불일치', '#크리스마스', '#painting', '#drawing', '#illustration', '#cuteart', '#chibiart', '#ipadart', '#christmas', '#winter', '#characterdesign', '#oc', '#originalcharacter', '#procreate', '#그림', '#캐릭터', '#일러스트', '#キャラクター', '#イラスト', '#クリスマス']"
Cmb6lvxvTVT,평택시,"🎄성탄전야 의의나무 패밀리타임🎄

 예수님 오신 날을 기뻐하며 함께 선물교환도 하고 각자 준비한 음식으로 저녁식사가 준비됩니다 

12월 24일 오후 5시 의의나무교회에서 만나요🫶❤️",[]
Cmbra27Phfy,구미마카롱,"☀️12/22 목요일 라인업☀️

🚦배민리뷰이벤트중입니다🚦
(아메리카노,디저트랜덤)

☑️마카롱(9종)//2000원

크림치즈 
꾸덕브라우니 
딸기우유
가나슈
바나나단지우유
우유초코칩
리얼오레오
쏠티카라멜
쑥절미

☑️마카롱꼬끄(2종)//2000원
•쫀득꼬끄
•바싹꼬끄

☑️구움과자 //2500원
•스모어쿠키
(오리지널,초코)
•브라우니

☑️브라우니 케이크
•도시락케이크//10000원
•1호사이즈//30000원
(예약주문만가능)

☑️음료
•아메리카노
•카페라떼
•카페모카
•바닐라라떼
•헤이즐넛라떼
•복숭아아이스티
•분다버그(핑크자몽)

☑️세트
6구 + 아메리카노 2잔 = 17000원 
9구 + 아메리카노 2잔 = 23000원

☑️예약
카카오플러스(블리론즈)로 가능합니다

☑️단체예약
원하시는 날짜와 시간, 종류 구성맞춤가능하십니다
(플러스문의부탁드려요)

☑️블리 론즈는 매일매일 소독과 매장을 청결히하고 있습니다 안심하고 방문해 주세요🤗

☑️퀵 가능합니다(퀵비지원중😃)

☑️전국택배가능",[]
CmbdHvqhIph,@yillrre.hkong,"연말 mood..🧣🤍
.
.
.
#한남동 #한남동카페 #한남동맛집 #서울 #104서울 #강남 #22 #연말 #중단발 #앞머리 #크리스마스 #디저트맛집 #쿠키 #쿠키맛집 #셀카 #셀피 #likesforlike #follwme #데이트 #용산맛집 #용산카페 #코디 #겨울 #팔로우늘리기 #팔로우미 #좋반 #좋아요환영 #followforfollowback #lfl #오오티디","['#한남동', '#한남동카페', '#한남동맛집', '#서울', '#104서울', '#강남', '#22', '#연말', '#중단발', '#앞머리', '#크리스마스', '#디저트맛집', '#쿠키', '#쿠키맛집', '#셀카', '#셀피', '#likesforlike', '#follwme', '#데이트', '#용산맛집', '#용산카페', '#코디', '#겨울', '#팔로우늘리기', '#팔로우미', '#좋반', '#좋아요환영', '#followforfollowback', '#lfl', '#오오티디']"
Cmb5h-EykKf,원밀리언파운드,"크리스마스 선물세트 예약 안내 🎄

크리스마스 선물세트 주문 예약이 많습니다:) 
쉬는날에도 열심히 포장 으쌰🧡
단체 주문으로 매일 열심히 파운드 생산,포장까지 하루하루 너무 감사드립니다 

단체 주문건은 요즘 주문 물량이 너무 많다보니 24일 8시까지 예약 도와드릴게요! 
(한정 수량이기에 조기 마감 될 수 있습니다)

서둘러 주세요 🙂

주문은 DM 또는 매장 전화로 문의 주세요 💚",[]
CmbwbuZh3Ir,오호미술,"✨새로운 생각, 뜻밖의 발견, 표현의 즐거움✨

OJO ATELIER for kids

메리메리 크리스마스 🎄☃️
.
.
.
🔹판교원마을 3단지 상가 202호
🔹체험 및 정규 수업문의 010.4252.5521
🔹카톡 채널 1:1 상담 (@오호미술) 프로필 링크

**수업 중에는 상담이 어려울 수 있습니다.
문자 또는 카톡 채널 1:1 상담으로 
문의사항 남겨주시면 확인 후 연락드리겠습니다. 
.
.
.
#오호미술 #크리스마스 #크리스마스수업 #크리스마스미술 #크리스마스활동 #아동미술 #유아미술 #아동미술학원 #유아미술학원 #창의미술 #창의융합 #초등미술 #미술교습소 #판교미술 #서판교미술 #판교동미술 #운중동미술 #판교초미술 #판교어린이집 #판교 #판교원마을 #미술샘 #미술선생님 #kidsart #kidscraft #kidsatelier #kidspainting #kidssculpture #artteacher #kidsartwork","['#오호미술', '#크리스마스', '#크리스마스수업', '#크리스마스미술', '#크리스마스활동', '#아동미술', '#유아미술', '#아동미술학원', '#유아미술학원', '#창의미술', '#창의융합', '#초등미술', '#미술교습소', '#판교미술', '#서판교미술', '#판교동미술', '#운중동미술', '#판교초미술', '#판교어린이집', '#판교', '#판교원마을', '#미술샘', '#미술선생님', '#kidsart', '#kidscraft', '#kidsatelier', '#kidspainting', '#kidssculpture', '#artteacher', '#kidsartwork']"
Cmb9ibWPz60,꿈꾸는지니,"피할 수 없다면 즐겨라!!

모든 영상을 보세요
행복해지실거예요.

22년만에 추는 춤
눈으로 쓰는 이름
XS음료한캔 원샷
#송년회 #2022 #크리스마스 
#너도나도 #같이하자 
#노후준비 #친구부자","['#송년회', '#2022', '#크리스마스', '#너도나도', '#같이하자', '#노후준비', '#친구부자']"
