post_id,name,post,hashtag
CmboFE0Jx6o,꾸꾸바스코,"*이밤이 가기전에 공지 하나 올리겠습니다*

내일부터는 본격 크리스마스 작업으로 인하여 
제품 라인업에 조금 변동 사항이 있어요!
바질크루아상과 소세지 바스켓이 이번주에는 오늘을 끝으로 
잠시 빠질 예정이에요!
다음주부터는 다시 만나보실수 있으니 너무 슬퍼 마셔요🥲🥲

그리고 바스크 치즈케이크는 내일까지는 준비되나 23,24,25일 이렇게 3일동안은 사진에 보이는 크리스마스 바스크 치즈케이크로 대체될 예정 입니다! 
예약도 받고 있으니 많은 관심 부탁드릴게요🥰🥰

그외 제품들은 평소보다 좀더 넉넉 하게 준비해 놓을 예정이니 방문하시는데 참고 부탁 드릴게요😉 

그럼 모두 굿바암💤💤",[]
CmbuAd2vvgA,나빈샵❤비니맘,"❗[공동구매] 
크리스마스 벽트리/트리 풀 세트/
포인트 벽리스 공구 최저가 open!❤

☺ 트리 풀 세트
레트로 느낌의 추억 트리
마음대로 꾸미는 트리맛집

온가족이 모여 트리 꾸미기
또눈 친구랑 연인이랑 꾸미기 ♪

트리 풀 세트는 전구부터 예쁜 장식들을
세트로 담아 보내드리기 때문에
나무에 장식만 걸어주면 끝!

손쉽게 멋진 트리 완성이에요 ღ๑

아이들과 꾸미는 재미도 쏠쏠하답니다~

☺ 벽트리 / 포인트 벽리스
트리가 부담스러우신 분들은
벽트리나 벽리스 추천드려요~ ♫

공간 차지 안하고 설치도 간단하고 
포인트로 어디다 설치해도 너무 예뻐요

다른 곳에서 찾아볼 수 없는
더원스토리 자체 제작 상품들~ ღ๑

한 시즌 제품 제작에
소요되는 기간 평균 1년!

집,카페,레스토랑,벽,천장,유리
어디에나 설치 가능 합니다 ✿

감성 인테리어에 빠질 수 없는
벽트리와 벽리스!

일반 벽에 해두어도 예쁘지만
특히 유리창에 해두면 반사되어
밤에는 반짝반짝 더욱 예쁘답니다~❢❣

✰ 당신만을 위한 특별한 크리스마스!
특별한 디자인의 나만의 감성트리,
나만의 포인트 문구 리스로 
특별한 겨울을 만드세요~:) 

✶✶✶✶✶✶✶✶✶✶✶✶✶✶✶✶✶

✦구성
✔트리풀세트-트리A,B,C,D
✔벽트리E
✔벽리스-골드픽션리스,핑크팝리스,
레드블리리스,다솜리스,코코리스,앙주리스

[★ 한정수량 품절전
서둘러 구매하세요~!! ★]

구매는 프로필 하단
링크에서 가능합니다! ☝☝☝

#연말파티준비#연말#연말파티#집꾸미기스타그램#인테리어#집꾸미기소품#집꾸미기그램#크리스마스#크리스마스벽리스#크리스마스리스#집들이선물#벽리스추천#포토존소품#연말선물#연말홈파티#크리스마스용품#크리스마스조명#크리스마스시즌#크리스마스선물#분위기#크리스마스파티준비#크리스마스사진#포토존만들기#포토존#감성소품추천#감성소품#벽리스","['#연말파티준비', '#연말', '#연말파티', '#집꾸미기스타그램', '#인테리어', '#집꾸미기소품', '#집꾸미기그램', '#크리스마스', '#크리스마스벽리스', '#크리스마스리스', '#집들이선물', '#벽리스추천', '#포토존소품', '#연말선물', '#연말홈파티', '#크리스마스용품', '#크리스마스조명', '#크리스마스시즌', '#크리스마스선물', '#분위기', '#크리스마스파티준비', '#크리스마스사진', '#포토존만들기', '#포토존', '#감성소품추천', '#감성소품', '#벽리스']"
CmbzZuxvOIk,꿈나무음악학원,"두근두근 크리스마스가 다가와요~!🎄
선생님들이 준비한 크리스마스 선물!!! 
이번 선물의 주제는 ‘정성’입니다 ෆ
아이들에게 줄 선물! 포장도 직접 재단해서 하나하나 정성들여 완성해봤습니다 🥰
우리 귀염둥이들 올 한해도 너무 수고했어용 ♡◟(˘◡˘∗)◞♥ 
금요일에 신나게 크리스마스 파티 하자 얘두랑~~~! 선생님들이 많이많이 사랑해💕💕

——————————————————————————

🎶동읍 자여 꿈나무음악학원🎶
주소 : 창원시 의창구 동읍 자여로 80 2층 (자여 농협 앞)
문의 : 010.2352.1726 / 055.291.3408

——————————————————————————

꿈나무 음악학원은❔
✔️피아노/바이올린/첼로
✔️아이들 하교시간에 맞춰 차량 운행
✔️유치부:6~7세
✔️초등부, 중고등부, 입시반
✔️성인반/취미반
✔️피아노플러스 전문 학원(난타, 컵타, 드럼 등 재미있고 다채로운 수업을 진행하여 다양한 음악적 경험할 수 있도록 지도합니다)
✔️매주 다양한 특강악기로 수업합니다
✔️매년 피아노급수와 다양한 콩쿨에서 우수한 성적을 거두고 있습니다
✔️내년 2월에는 학원 정기연주회가 있을 예정입니다 ❤︎ 많은 관심 부탁드려요~!
✔️단체수업(합창, 부는악기)은 마스크를 벗지 않아도 되는 수업으로 진행합니다

#창원 #동읍 #음악학원 #창원음악학원 #동읍음악학원 #자여음악학원 #창원피아노학원 #동읍피아노학원 #자여피아노학원 #창원취미  #피아노배우기 #취미 #취미피아노 #초등피아노 #피아노기초 #꿈나무음악학원 #초등 #음스타그램 #피아노치는남자 #피아노치는여자 #직장인피아노 #성인피아노 #🎹#크리스마스 #크리스마스선물 #멜크 #크리스마스파티 #파티 #선물","['#창원', '#동읍', '#음악학원', '#창원음악학원', '#동읍음악학원', '#자여음악학원', '#창원피아노학원', '#동읍피아노학원', '#자여피아노학원', '#창원취미', '#피아노배우기', '#취미', '#취미피아노', '#초등피아노', '#피아노기초', '#꿈나무음악학원', '#초등', '#음스타그램', '#피아노치는남자', '#피아노치는여자', '#직장인피아노', '#성인피아노', '#크리스마스', '#크리스마스선물', '#멜크', '#크리스마스파티', '#파티', '#선물']"
CmbvEisP0XS,❤️이지아트미술❤️,"🎀 성인취미미술 🎀

크리스마스 주간 🎄⛄️
저희 집에도 붙여놓고 싶어요ㅋㅋㅋ😆👍🏻
.
.
.
#수원취미미술 #수원성인미술 #이지아트미술 #크리스마스 #수원정자동미술 #수원sk스카이뷰 #sk스카이뷰미술학원 #수원sk스카이뷰미술 #정자동취미미술","['#수원취미미술', '#수원성인미술', '#이지아트미술', '#크리스마스', '#수원정자동미술', '#수원sk스카이뷰', '#sk스카이뷰미술학원', '#수원sk스카이뷰미술', '#정자동취미미술']"
CmbsBGtPZjM,행거,"은사퍼니트

너무예쁘고 고급스럽답니다
컬러감 너무잘빠졌어요~
5컬러다 너무이뻐요

문의주세요
010 5546 6668

DM도환영요

#퍼니트#은사니트#금사니트#니트추천
#니트코디 #니트맛집 #크리스마스 #크리스마스코디#고급니트#좋반좋아요 #좋아요반사해요 #반사소통그램 #소통해요우리 #맞반해요 #맞팔해요 #선팔100 #좋아해요반사 #좋아요하트 #하트반사 #맞팔선팔","['#퍼니트', '#은사니트', '#금사니트', '#니트추천', '#니트코디', '#니트맛집', '#크리스마스', '#크리스마스코디', '#고급니트', '#좋반좋아요', '#좋아요반사해요', '#반사소통그램', '#소통해요우리', '#맞반해요', '#맞팔해요', '#선팔100', '#좋아해요반사', '#좋아요하트', '#하트반사', '#맞팔선팔']"
CmbqUb8LcMp,SOLE.A,"크리스마스가 곧 오네요.
설레이기도 하고 분주하기도 한 마음.

#크리스마스 #크리스마스준비 #선물 #사랑 #일러스트 #그림 #설렘 #illustration #drawing #art #christmas #present #december #winter #sole.aaaa #seoul","['#크리스마스', '#크리스마스준비', '#선물', '#사랑', '#일러스트', '#그림', '#설렘', '#illustration', '#drawing', '#art', '#christmas', '#present', '#december', '#winter', '#sole', '#seoul']"
CmcCjVjpw4c,Jini,"Nutcracker - never saw any house full of such beautiful #nutcrackers 💂‍♀️💂🏻💂🏿‍♂️ #holidayvibes I wish I could show all of them from this house! Kathy, you are the 🥇!","['#nutcrackers', '#holidayvibes']"
CmboKdVrR0T,𝐆𝐲𝐮𝐢𝐧𝗌𝗍𝖺𝗀𝗋𝖺𝗆,"🍫
⠀
아마도 뀨니 인생에서 제일 초콜렛을 많이 먹은
하루가 아닐까 싶다🤣🤎
⠀
뭐 어때!
먹고 바로 꼼꼼히 치카치카하면 되지 :)
⠀
뀨니랑 뀨니애비 둘이서(애비 지분 80%)
하루만에 다 먹어버린 브라우니케이크👋🏻
⠀
졸려서 눈이 감기는데도 끝까지 안 자고 버티는
규인이가 너무 웃겨서 엄마아빠 배꼽 잡았다🤣
덕분에 즐거웠던 12월의 어느 날 저녁♥️
⠀
⠀
⠀
#생후984일
#규이니그램ෆ","['#생후984일', '#규이니그램ෆ']"
CmboQZqKPwc,거제카페,".
해질녘의 정원
.
📢 다가오는 크리스마스와 새해 연휴 동안은 월요일 정기 휴무 없이 운영합니다 (12월26일, 1월2일 운영) 🤶 🎅

-
사진 : @pillter_ 
-

@mujigaepension
An observatory with coffee

10:00 - 20:00
거제시 남부면 저구리 737-70

#무지개펜션에스프레소
#mujigaepensionespresso","['#무지개펜션에스프레소', '#mujigaepensionespresso']"
Cmbxg16PTIk,#이수연코스메틱,#이수연코스메틱 #선물 #크리스마스 #11가지 #1세트 #감사합니다 #영업 #제품제공 #협업 #공유 #수당 #만남 #마음 #리더,"['#이수연코스메틱', '#양은미', '#골드앤유이수연', '#리수연', '#이수연코스메틱', '#선물', '#크리스마스', '#11가지', '#1세트', '#감사합니다', '#영업', '#제품제공', '#협업', '#공유', '#수당', '#만남', '#마음', '#리더']"
CmcC_7Dysqr,st909,"포인트아트~! #타탄체크 #레드네일

#눈사람네일 #크리스마스네일 #이달의아트

네이버 예약 ","['#타탄체크', '#레드네일', '#눈사람네일', '#크리스마스네일', '#이달의아트']"
Cmb0WtzPzcX,@gongdeon,"사실 사진아니고 영상인데 ...

#c4d #cinema4d #aftereffects #3d #artwork #octane #octanerender #chistmas  #chirstmastree #시포디 #에펙 #에프터이펙트 #크리스마스 #스노우볼","['#c4d', '#cinema4d', '#aftereffects', '#3d', '#artwork', '#octane', '#octanerender', '#chistmas', '#chirstmastree', '#시포디', '#에펙', '#에프터이펙트', '#크리스마스', '#스노우볼']"
Cmb6KfLvTJ-,예화,"시즌햇박스🎄 크리스마스엔 뭐니뭐니해도 레드&그린❤️💚
.
.
.
#햇박스 #시즌 #꽃선물 #크리스마스 #건대 #건대꽃집 #더샵스타시티꽃집 #더클래식500꽃집 #더클래식500 #hatbox #seasonhatbox #christmas🎄#red&green #classic #yewhaartflower #yewha_art_flower #theclassic500","['#햇박스', '#시즌', '#꽃선물', '#크리스마스', '#건대', '#건대꽃집', '#더샵스타시티꽃집', '#더클래식500꽃집', '#더클래식500', '#hatbox', '#seasonhatbox', '#christmas', '#red', '#classic', '#yewhaartflower', '#yewha_art_flower', '#theclassic500']"
CmcBWfBS2ET,하이디로그,"제인마치 성수 🎅🏼🎄❤️
.
.
#하이디로그 🦋 
#하이디_크리스마스 #merrychristmas 
#크리스마스 #제인마치메종 #성수동 #성수동핫플
.
.
#일상 #일상기록 #셀카 #일상소통 #일상스타그램 
#셀피 #셀스타그램 #좋아요 #소통 #선팔 #맞팔 
#daily #selfie #like #likeforlikes #love #follow","['#하이디로그', '#하이디_크리스마스', '#merrychristmas', '#크리스마스', '#제인마치메종', '#성수동', '#성수동핫플', '#일상', '#일상기록', '#셀카', '#일상소통', '#일상스타그램', '#셀피', '#셀스타그램', '#좋아요', '#소통', '#선팔', '#맞팔', '#daily', '#selfie', '#like', '#likeforlikes', '#love', '#follow']"
CmbpiVLLUed,재,Early Christmas 🎄,[]
Cmbqjffv1Au,@moonjiho_o,"#생후73일 

이모가 사준 루돌프옷입구 
다가올 크리스마스 준비중🎄",['#생후73일']
CmbpqvdLo2G,donald_and_summer,"안녕하세요 도날드 앤 썸머 입니다 ❄️☃️❄️
.
.
.
목요일 open은 오랜만인거 같아요!?? 🤗
내일부터 신메뉴 브라우니가 준비됩니다🍫🍫
.
.
브라우니는 깔리바우트 다크초콜릿을 이용해서 만들었어요 🍫
현미가루와 아몬드 가루를 넣어 만들었습니다 🐻🤎
식감은 꾸덕해서 커피와 먹으면... 당충전 절로되고,, 직장의 고단함과 육아의 피로, 공부의 스트레스가 없어지는맛....🤭🤭 달달한 당충준 하러 오세요오!! 도날드 온풍기사서...따뜻해졌어요 (tmi)😊",[]
Cmbz4cuPRe5,82PALETTE,"What do you like most about Christmas?✨

Grab these Cozy Christmas sticker sheet from our online webstore now!🏃‍♂️🎄☕️ These sticker sheets are Seasonal and Exclusive for the festive only!! 

🛒X'MAS ONLINE MARKET: OPEN 12/12 ~ 24/12🎄
VISIT OUR SHOP HERE: www.82palette.bigcartel.com

(saves and story reshares are always appreciated! thank you🫶🏻!)",[]
CmbsuEvSWh9,요거트,"🥰🍨🥪
요아샌드 👍👍👍

#신메뉴 #연말파티 #홈파티 #크리스마스 

#요거트아이스크림의정석용인점 #용인카페 #요아정용인점 #용인맛집 #용인디저트 #용인디저트카페 #용인배달 #용인배달맛집 #역북지구맛집 #아이스크림맛집 #요거트아이스크림 #역북동맛집 #용인그릭요거트 #용인그릭요거트배달 #포장주문 #포장맛집 #수제쿠키 #쿠거트용인점 #용인수제쿠키 #용인쿠키맛집 #용인과일맛집 #다이어트간식 #오늘의과일","['#신메뉴', '#연말파티', '#홈파티', '#크리스마스', '#요거트아이스크림의정석용인점', '#용인카페', '#요아정용인점', '#용인맛집', '#용인디저트', '#용인디저트카페', '#용인배달', '#용인배달맛집', '#역북지구맛집', '#아이스크림맛집', '#요거트아이스크림', '#역북동맛집', '#용인그릭요거트', '#용인그릭요거트배달', '#포장주문', '#포장맛집', '#수제쿠키', '#쿠거트용인점', '#용인수제쿠키', '#용인쿠키맛집', '#용인과일맛집', '#다이어트간식', '#오늘의과일']"
Cmbwrc_rAWv,단지네,"Gold Christmas 🌟🎄

#christmas #christmasnails #christmasdecor #nails #goldnails #nails #koreannails #naildecor #naildecoration #cute #크리스마스네일 #겨울네일 #크리스마스파티 #크리스마스 #매트네일 #트리네일 #크리스마스트리","['#christmas', '#christmasnails', '#christmasdecor', '#nails', '#goldnails', '#nails', '#koreannails', '#naildecor', '#naildecoration', '#cute', '#크리스마스네일', '#겨울네일', '#크리스마스파티', '#크리스마스', '#매트네일', '#트리네일', '#크리스마스트리']"
Cmb5mrkvTF5,충북혁신도시네일샵,"#쭌네일
요즘 많이 보이는 글리터🖤✨
블랙과 실버 자글자글 조합 세상 화려함!",['#쭌네일']
CmbqKD7p2YQ,네일아트,"#블랙네일 🖤
bandinhouse_bin
@0_7_31 

#네일아트 #네일계정 #소통","['#블랙네일', '#네일아트', '#네일계정', '#소통']"
Cmbw63NLdPx,Young,#크리스마스 #픽픽픽스튜디오 #메가펀치 @heiimsh_,"['#크리스마스', '#픽픽픽스튜디오', '#메가펀치']"
